date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:06	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%224f5b7f4ec7e1a9c31d90c062bf3f6c2f%22	https://hollyrudgi.com.br/robots.txt		(from )
20:50:06	354509/354509	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2017:04:11%20GMT	https://hollyrudgi.com.br/	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/index.html	(from )
20:50:07	228649/228649	---MCZ	200	added ('OK')	text/css	etag:W/%22f4f8bc5005118b6ba237e362c893bf52%22	https://hollyrudgi.com.br/_astro-1721667831222/_slug_.Cbh2bJqY.css	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/_astro-1721667831222/_slug_.Cbh2bJqY.css	(from https://hollyrudgi.com.br/)
20:50:07	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e7308e-1b7c%22	https://hollyrudgi.com.br/t	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/t	(from https://hollyrudgi.com.br/)
20:50:07	15815/15815	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Jul%202024%2002:20:58%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=272,fit=crop,q=95/m6LJqljD6JhEKg1q/logo-hollyrudgi-Aq2o1rW0MXiXLpE1.png	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=272,fit=crop,q=95/m6LJqljD6JhEKg1q/logo-hollyrudgi-Aq2o1rW0MXiXLpE1.png	(from https://hollyrudgi.com.br/)
20:50:08	376738/376738	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2017:04:11%20GMT	https://hollyrudgi.com.br/sobre	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/sobre.html	(from https://hollyrudgi.com.br/)
20:50:08	294959/294959	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2017:04:11%20GMT	https://hollyrudgi.com.br/servicos	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/servicos.html	(from https://hollyrudgi.com.br/)
20:50:08	192740/192740	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2017:04:11%20GMT	https://hollyrudgi.com.br/contato	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/hollyrudgi.com.br/contato.html	(from https://hollyrudgi.com.br/)
20:50:08	37371/37371	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Mar%202024%2015:22:09%20GMT	https://images.pexels.com/videos/1841356/free-video-1841356.jpg?auto=compress&cs=tinysrgb&fit=crop&h=630&w=1200	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/images.pexels.com/videos/1841356/free-video-18413568a9e.jpg	(from https://hollyrudgi.com.br/)
20:50:09	2650/2650	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202024%2002:21:56%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=63,h=63,fit=crop/m6LJqljD6JhEKg1q/brisandocomruy-YD04yNl1wgupv3bG.jpg	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=63,h=63,fit=crop/m6LJqljD6JhEKg1q/brisandocomruy-YD04yNl1wgupv3bG.jpg	(from https://hollyrudgi.com.br/)
20:50:09	2156/2156	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202024%2002:21:56%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=51,h=50,fit=crop/m6LJqljD6JhEKg1q/brisandocomruy-YD04yNl1wgupv3bG.jpg	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=51,h=50,fit=crop/m6LJqljD6JhEKg1q/brisandocomruy-YD04yNl1wgupv3bG.jpg	(from https://hollyrudgi.com.br/)
20:50:10	252/252	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jul%202024%2021:08:04%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=30,h=18,fit=crop,trim=42.19047619047619;0;42.19047619047619;0/m6LJqljD6JhEKg1q/youtube_logo-YNqr9aP0nwfaN2Zb.png	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=30,h=18,fit=crop,trim=42.19047619047619;0;42.19047619047619;0/m6LJqljD6JhEKg1q/youtube_logo-YNqr9aP0nwfaN2Zb.png	(from https://hollyrudgi.com.br/)
20:50:10	309/309	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jul%202024%2021:08:04%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=16,h=11,fit=crop,trim=0;0;0;0/m6LJqljD6JhEKg1q/youtube_logo-YNqr9aP0nwfaN2Zb.png	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=16,h=11,fit=crop,trim=0;0;0;0/m6LJqljD6JhEKg1q/youtube_logo-YNqr9aP0nwfaN2Zb.png	(from https://hollyrudgi.com.br/)
20:50:10	1740/1740	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202024%2002:22:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop/m6LJqljD6JhEKg1q/ruycardozo-AVLbWraGoXsNvrPv.jpg	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop/m6LJqljD6JhEKg1q/ruycardozo-AVLbWraGoXsNvrPv.jpg	(from https://hollyrudgi.com.br/)
20:50:11	1703/1703	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202024%2002:22:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=49,h=48,fit=crop/m6LJqljD6JhEKg1q/ruycardozo-AVLbWraGoXsNvrPv.jpg	C:/Users/CMB/Desktop/novo%20site/site%20holly%20rudgi/assets.zyrosite.com/cdn-cgi/image/format=auto,w=49,h=48,fit=crop/m6LJqljD6JhEKg1q/ruycardozo-AVLbWraGoXsNvrPv.jpg	(from https://hollyrudgi.com.br/)
